"","Date","BRAZIL_Financials","BRAZIL_Industrials","BRAZIL_Resources","CHINA_FINANCIAL","CHINA_INDUSTRIAL","CHINA_RESOURCE","INDIA_FINANCIAL","INDIA_INDUSTRIALS","INDIA_RESOURCES","RUSSIA_FINANCIAL","RUSSIA_INDUSTRIAL","RUSSIA_RESOURCES","SOUTH_AFRICA_FINANCIAL","SOUTH_AFRICA_INDUSTRIAL","SOUTH_AFRICA_RESOURCE"
"1794","2012-10-24",0.000219138096103159,0.0000894905396078342,0.0000563531230799784,0.000150409154019219,0.000163172240414735,0.000201219329183242,0.000140132050133073,0.000581733870050336,0.000193517893687396,0.000126583311132847,0.000234652935080633,0.000213037834626585,0.0000728369281823454,0.0000665089639906622,0.000191517082985129
"1795","2012-10-25",0.000216904074427595,0.0000913491841198925,0.0000547486422307512,0.000145636482371626,0.000194650130208014,0.000257544973608366,0.000132085630003382,0.00054086437837595,0.000189118198871764,0.000117465019460993,0.000177716019900905,0.00019729514949651,0.0000733746072638368,0.0000645670969134903,0.000190390157721853
"1796","2012-10-26",0.000222049341023154,0.0000873882761107159,0.0000554727479778605,0.000144425453525662,0.000157845737007684,0.000202282561254394,0.000127058436010775,0.000530232451211838,0.000185569751238689,0.000109334153784837,0.000179266128182765,0.000183406823906365,0.0000705733333264961,0.0000617519336923461,0.000187074615040802
"1797","2012-10-29",0.000217816073306309,0.0000850469644932197,0.0000544692814319522,0.000151928841319571,0.000181176444143474,0.000230052300113712,0.000126799172065265,0.00049896044658965,0.000181564354222111,0.000109793580958354,0.00018831446360696,0.000187314415810775,0.000072152908192003,0.0000596512076192296,0.000183868505006463
"1798","2012-10-30",0.000205552401825212,0.0000851005182752343,0.0000533996575537618,0.000150635434077213,0.000152894238344287,0.000197143325148204,0.00011995323155847,0.000470799986293999,0.000177474562626663,0.000109749609984202,0.000180058617627036,0.000178128400314339,0.0000678242993311171,0.0000588353116650183,0.00018105971205793
"1799","2012-10-31",0.000199072918325382,0.0000804606921207774,0.0000535005585545283,0.000146236581541069,0.000179801881946979,0.000209811558211549,0.000136533779132453,0.000487472303266466,0.000179086751996554,0.000103210661482701,0.000160985527234544,0.000166340846567243,0.0000691487440271877,0.0000571603173080919,0.000178151241915906
"1800","2012-11-01",0.000194103008399887,0.0000774166029146571,0.0000519845194750594,0.000142343526942198,0.000147771369205867,0.000199459774149991,0.000133461995286881,0.000465301107224734,0.000178093724363228,0.0000993018953843427,0.000152060736265345,0.000160335046923048,0.000065560020431134,0.0000547314752162816,0.000175082208986984
"1801","2012-11-02",0.000293193187069379,0.00008353932550155,0.0000508853065998933,0.000160202688036759,0.000167295542775115,0.000195792679735877,0.000126440663877438,0.000455580345482022,0.00017607877051479,0.0000932543121255952,0.000137889519038619,0.000155948861647171,0.0000656838039448112,0.0000556007613711247,0.000172843613680547
"1802","2012-11-05",0.000274838726366264,0.0000888582152669721,0.0000494516856637581,0.000158324029600849,0.000143877099561302,0.000195242322893272,0.000123063530233701,0.000423661683303314,0.000173091898226306,0.0000881306975820802,0.000126013145221473,0.000155697993847943,0.00006694552710029,0.0000571321197848564,0.000170584946067769
"1803","2012-11-06",0.000261300562394097,0.0000815017295632422,0.0000499049862775445,0.000152820580758681,0.000159743407507124,0.000184825106974295,0.000116157756271018,0.000399472097044865,0.000170963277175782,0.0000834528317435269,0.000115217951098417,0.000144939390928044,0.0000635447975708374,0.000054696804749278,0.00016967747287614
"1804","2012-11-07",0.000266914345971462,0.0000890748254503757,0.0000485693909790673,0.000147602472968198,0.000138653253348352,0.000183011426350484,0.000111650739877652,0.000414725520068609,0.000167154975567321,0.0000801331034564881,0.000112731223098271,0.000135710582913861,0.0000669597826247099,0.0000523964576303875,0.000167089061400559
"1805","2012-11-08",0.000270803430516805,0.000102982307018331,0.0000473949966114307,0.000144196805897852,0.000148987909943318,0.000176236411475648,0.000113059475358167,0.000450672420249506,0.000163671954579156,0.0000869283802278325,0.000118546630006859,0.000145608484235979,0.0000617326998452686,0.0000530282608684074,0.000164391889629791
"1806","2012-11-09",0.000276193337600389,0.000104327059957593,0.000046105930229024,0.000151434122121673,0.000133512246836644,0.000172116430091835,0.00011015324805805,0.000431547542921527,0.000160031122114135,0.000121952689951155,0.000115078342748824,0.000150659401620458,0.0000632900797244638,0.0000528305857689871,0.000161610729271652
"1807","2012-11-12",0.000260345517321411,0.000107535970352679,0.0000466987147741228,0.000146180165806246,0.000140191970868056,0.000241801696271605,0.000110570843615187,0.000430311327817298,0.000161456360978506,0.000123854479239325,0.000123542282731282,0.000142313048197759,0.000066721043871011,0.0000510812592652939,0.000162026059215148
"1808","2012-11-13",0.00024567216106214,0.000105407338504779,0.0000458796759684565,0.000145414017083035,0.000129640775668507,0.000194982960415965,0.000108852898714711,0.000406283427566838,0.000159156938985934,0.00011493785881589,0.000107914532446919,0.000132885665164022,0.0000612461628181662,0.0000537301231726688,0.000159497349712778
"1809","2012-11-14",0.000241358264098134,0.0000997940017344663,0.000047697143399521,0.000157827954582433,0.000186391539910176,0.000217781948146822,0.000105254524280662,0.000381527102433347,0.000155870363404276,0.000196355309168409,0.000537329591892032,0.000155687121596201,0.0000628694643613308,0.0000522277226739649,0.0001593655046922
"1810","2012-11-15",0.000241731391870008,0.000108654537024891,0.0000465030732497213,0.000152254486100185,0.000132640148779528,0.00018876568278753,0.0000995492643623828,0.000359126575898454,0.000152422024116629,0.000179106051417209,0.00030631575267664,0.000144905595519863,0.0000590517612014351,0.0000519711311390773,0.000157233581337792
"1811","2012-11-16",0.000227774718021323,0.000115794523635539,0.0000452065681907968,0.000152211289753153,0.000189005233942506,0.000209211611783783,0.0000944259152928557,0.000384973369662509,0.000154844470501301,0.000180642778832749,0.000342219036865455,0.000136421704065662,0.0000614525268055954,0.000050743824085501,0.000156423058715342
"1812","2012-11-19",0.000214872425858673,0.000104437969227409,0.0000440726064492574,0.000148487781196957,0.000132856917928343,0.000187264869982695,0.000114440647762087,0.000494810070048051,0.000152076325016612,0.000165145971980853,0.00029504106258425,0.00012783458188082,0.0000579513608591776,0.0000548875026228838,0.000155009726603259
